Title,Date,User,Body,Rating
Extremely biased,10/24/2018,xfredutr,"Poor podcast if you want unbiased info. Absolutely nothing positive about GOP. They spin all stories the same direction. If this was the only news source, we would all believe the world is ending because Republicans exist. The only podcast where the ads are more truthful than the reporting!",1
Too liberal,10/24/2018,Tri_power,Pretty good content but too liberal for me. Still searching for a an good independent option..,1
"I hate politics, and this podcast doesn’t help.",10/30/2018,Captain pica,"I listen to the NPR One app while I exercise every morning. This podcast is in my rotation, but I’m not sure I like it. Most of the cast sounds young, so maybe that is they rely on statistics instead of experience or intuition, but this podcast operates under the assumption that ALL OF AMERICA is either a democrat or a republican. They almost never mention independent voters, and when they do they assume there aren’t enough of us to make a difference. Aside from Mara, I don’t have respect for any of them.",3
Love it!,11/01/2018,larzie314,"I love this podcast. I think Tam does a great job of hosting, and I also like Domenico and Ron Elving. Sometimes Mara can get a little biased, but I love the balance between informality and info. The time stamps and can’t let it go keep it light during pretty depressing news sometimes.",5
The lack of fact checking borders on journalistic malpractice,11/02/2018,DRiveraG,"After being a devote listener for almost 3 years (since the podcast started), today I sadly unsubscribed. The lack of fact checking of claims made by politicians on both sides of the isle in this podcast is serious malpractice. The one that made me re-establish my Apple ID (I listen on Android, but I know they only care for reviews here) just to write this review was coming from the president, but they do the same with democrats all the time.",1
11/1 racist wrap up,11/02/2018,moonbeam ranch,I was really disturbed by the arrogant and racists commentary. The anti-white identity politics ideology promoted here not only missed the mark in trying to highlight the root of society’s major malfunction of today but it also is divisive and is the real issue you are struggling to explain. Please re-evaluate the sewage you broadcast I enjoy listening to broad spectrum ideas this was tunnel vision down a racist rabbit hole. Do BETTER!,1
"Ok content, heavy bias",11/02/2018,Lem Kenada,"Definitely leans center left. This pod is ok but lacking in genuinely interesting perspectives. Maria has great insight, but talks over and interrupts the other hosts constantly. Feels like it tries to appeal to the young and old listeners together, but poorly executes that mission. I still listen just to get any nuggets of info not found on other political pods.",3
Not exactly NPR's best.,11/04/2018,Oddballgamee,"I gave a couple of these a try and it doesn't feel like the thoughtful, objective, and analytical coverage that say ""On Point"" does. This show seems more like an opinionated round table for novice journals.",1
I love NPR Politics!,11/05/2018,ry3688,I love this podcast - I listen to every episode! Thank you all for your work in putting these episodes together! ❤️💙,5
NPR - Never Promote Republican?,11/06/2018,weeper123,"I started listening to this podcast during the presidential debates and really appreciated the information about all the candidates and the politics surrounding them. However, as the pod has progressed and, of course, Trump has become the president, the negativity toward the “right” or “republican” or “conservative” has just become too much. Instead of just reporting, it has become a backhanded way of bashing what you, as reporters do not support. I understand that everyone has an opinion and is entitled to it, but as a news agency shouldn’t bias be left to op eds?",2
Too far left,11/06/2018,Lawyer Scott,"This is too far left leaning for me. The program contains no thoughtful commentary, just standard left leaning opinions devoid of factual support.",1
